order_number,quantity_ordered,price_each,order_line_number,sales,order_date,status,qtr_id,month_id,year_id,product_line,msrp,product_code,customer_name,phone,addresss_line1,addresss_line2,city,state,postal_code,country,territory,contact_last_name,contact_first_name,deal_size,week_day,month
10388,42,76.359999999999999,4,3207.1199999999999,2005-03-03,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium,Thursday,March
10403,24,100,7,2434.5599999999999,2005-04-08,Shipped,2,4,2005,Motorcycles,95,S10_1678,UK Collectables Ltd.,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,Friday,April
10417,66,100,2,7516.0799999999999,2005-05-13,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal 86,,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,Friday,May
10103,26,100,11,5404.6199999999999,2003-01-29,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Wednesday,January
10112,29,100,1,7209.1099999999997,2003-03-24,Shipped,1,3,2003,Classic Cars,214,S10_1949,Volvo Model Replicas Co,0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large,Monday,March
10126,38,100,11,7329.0600000000004,2003-05-28,Shipped,2,5,2003,Classic Cars,214,S10_1949,Corrida Auto Replicas Ltd,(91) 555 22 82,C/ Araquil 67,,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large,Wednesday,May
10140,37,100,11,7374.1000000000004,2003-07-24,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large,Thursday,July
10150,45,100,8,10993.5,2003-09-19,Shipped,3,9,2003,Classic Cars,214,S10_1949,Dragon Souveniers Ltd.,+65 221 7555,Bronz Sok. Bronz Apt. 3/6 Tesvikiye,,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large,Friday,September
10163,21,100,1,4860.2399999999998,2003-10-20,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium,Monday,October
10174,34,100,4,8014.8199999999997,2003-11-06,Shipped,4,11,2003,Classic Cars,214,S10_1949,Australian Gift Network Co,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,Thursday,November
10183,23,100,8,5372.5699999999997,2003-11-13,Shipped,4,11,2003,Classic Cars,214,S10_1949,Classic Gift Ideas Inc,2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium,Thursday,November
10194,42,100,11,7290.3599999999997,2003-11-25,Shipped,4,11,2003,Classic Cars,214,S10_1949,Saveley & Henriot Co.,78.32.5555,2 rue du Commerce,,Lyon,,69004,France,EMEA,Saveley,Mary,Large,Tuesday,November
10206,47,100,6,9064.8899999999994,2003-12-05,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large,Friday,December
10215,35,100,3,6075.3000000000002,2004-01-29,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium,Thursday,January
10228,29,100,2,6463.2299999999996,2004-03-10,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium,Wednesday,March
10245,34,100,9,6120.3400000000001,2004-05-04,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium,Tuesday,May
10258,32,100,6,7680.6400000000003,2004-06-15,Shipped,2,6,2004,Classic Cars,214,S10_1949,Tokyo Collectables Ltd,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,Tuesday,June
10270,21,100,9,4905.3900000000003,2004-07-19,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,Monitor Money Building 815 Pacific Hwy,Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,Monday,July
10280,34,100,2,8014.8199999999997,2004-08-17,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large,Tuesday,August
10291,37,100,11,7136.1899999999996,2004-09-08,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large,Wednesday,September
10304,47,100,6,10172.700000000001,2004-10-11,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,67 avenue de l'Europe,,Versailles,,78000,France,EMEA,Tonini,Daniel,Large,Monday,October
10312,48,100,3,11623.700000000001,2004-10-21,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large,Thursday,October
10322,40,100,1,6000.3999999999996,2004-11-04,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium,Thursday,November
10333,26,100,3,3003,2004-11-18,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium,Thursday,November
10347,30,100,1,3944.6999999999998,2004-11-29,Shipped,4,11,2004,Classic Cars,214,S10_1949,Australian Collectors Co.,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,Monday,November
10357,32,100,10,5691.8400000000001,2004-12-10,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,Friday,December
10369,41,100,2,4514.9200000000001,2005-01-20,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium,Thursday,January
10381,36,100,3,8254.7999999999993,2005-02-17,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Large,Thursday,February
10391,24,100,4,2416.5599999999999,2005-03-09,Shipped,1,3,2005,Classic Cars,214,S10_1949,Anna's Decorations Ltd,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,Wednesday,March
10411,23,100,9,4140.2299999999996,2005-05-01,Shipped,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,Sunday,May
10424,50,100,6,12001,2005-05-31,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal 86,,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,Tuesday,May
10107,39,99.909999999999997,5,3896.4899999999998,2003-02-24,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Monday,February
10120,29,96.340000000000003,3,2793.8600000000001,2003-04-29,Shipped,2,4,2003,Motorcycles,118,S10_2016,Australian Collectors Co.,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,Tuesday,April
10134,27,100,5,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,Tuesday,July
10145,37,100,9,5192.9499999999998,2003-08-25,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,Monday,August
10159,37,100,17,5016.8299999999999,2003-10-10,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,Friday,October
10168,27,100,4,3660.9299999999998,2003-10-28,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,Tuesday,October
10180,42,100,12,4695.6000000000004,2003-11-11,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,184 chausse de Tournai,,Lille,,59000,France,EMEA,Rance,Martine,Medium,Tuesday,November
10188,38,96.340000000000003,4,3660.9200000000001,2003-11-18,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,Drammen 121 PR 744 Sentrum,,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,Tuesday,November
10201,24,100,5,3025.9200000000001,2003-12-01,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium,Monday,December
10210,23,100,2,3009.0900000000001,2004-01-12,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,Dojima Avanza 4F 1-6-20 Dojima Kita-ku,,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,Monday,January
10223,47,100,4,5422.3900000000003,2004-02-20,Shipped,1,2,2004,Motorcycles,118,S10_2016,Australian Collectors Co.,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,Friday,February
10236,22,100,1,2852.0799999999999,2004-04-03,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small,Saturday,April
10251,44,100,5,5756.5200000000004,2004-05-18,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium,Tuesday,May
10263,40,100,5,4472,2004-06-28,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,Monday,June
10275,22,100,4,2904.4400000000001,2004-07-23,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,67 rue des Cinquante Otages,,Nantes,,44000,France,EMEA,Labrune,Janine,Small,Friday,July
10285,47,100,9,6484.5900000000001,2004-08-27,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,Friday,August
10298,39,96.340000000000003,1,3757.2600000000002,2004-09-27,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,54 rue Royale,,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium,Monday,September
10308,34,100,2,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium,Friday,October
10318,45,100,4,5566.5,2004-11-02,Shipped,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,Tuesday,November
10329,20,100,2,3176,2004-11-15,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Monday,November
10339,40,68.920000000000002,4,2756.8000000000002,2004-11-23,Shipped,4,11,2004,Motorcycles,118,S10_2016,Tokyo Collectables Ltd,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,Tuesday,November
10361,26,51.149999999999999,8,1329.9000000000001,2004-12-17,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,Monitor Money Building 815 Pacific Hwy,Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,Friday,December
10374,39,100,5,5288.0100000000002,2005-02-02,Shipped,1,2,2005,Motorcycles,118,S10_2016,Australian Gift Network Co,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,Wednesday,February
10388,50,44.509999999999998,5,2225.5,2005-03-03,Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small,Thursday,March
10402,45,100,1,5833.8000000000002,2005-04-07,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,25 rue Lauriston,,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,Thursday,April
10417,45,100,5,5887.3500000000004,2005-05-13,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal 86,,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,Friday,May
10107,27,100,4,6065.5500000000002,2003-02-24,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Monday,February
10120,46,100,2,9264.8600000000006,2003-04-29,Shipped,2,4,2003,Motorcycles,193,S10_4698,Australian Collectors Co.,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,Tuesday,April
10134,31,100,4,7023.9799999999996,2003-07-01,Shipped,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large,Tuesday,July
10145,33,100,8,5176.3800000000001,2003-08-25,Shipped,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,Monday,August
10159,22,100,16,4132.6999999999998,2003-10-10,Shipped,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,Friday,October
10168,20,100,3,4183,2003-10-28,Shipped,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,Tuesday,October
10180,41,100,11,8892.8999999999996,2003-11-11,Shipped,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,184 chausse de Tournai,,Lille,,59000,France,EMEA,Rance,Martine,Large,Tuesday,November
10188,45,100,3,8714.7000000000007,2003-11-18,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,Drammen 121 PR 744 Sentrum,,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large,Tuesday,November
10201,49,100,4,8065.8900000000003,2003-12-01,Shipped,4,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Large,Monday,December
10210,34,100,1,6123.3999999999996,2004-01-12,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,Dojima Avanza 4F 1-6-20 Dojima Kita-ku,,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,Monday,January
10223,49,100,3,9774.0300000000007,2004-02-20,Shipped,1,2,2004,Motorcycles,193,S10_4698,Australian Collectors Co.,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,Friday,February
10237,39,100,9,7023.8999999999996,2004-04-05,Shipped,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Large,Monday,April
10251,43,100,4,7078.2299999999996,2004-05-18,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Large,Tuesday,May
10263,41,100,4,8336.9400000000005,2004-06-28,Shipped,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Large,Monday,June
10275,36,100,3,6901.9200000000001,2004-07-23,Shipped,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,67 rue des Cinquante Otages,,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,Friday,July
10285,27,100,8,5438.0699999999997,2004-08-27,Shipped,3,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,Friday,August
10299,29,100,11,6683.3400000000001,2004-09-30,Shipped,3,9,2004,Motorcycles,193,S10_4698,Toys of Finland Co.,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,Thursday,September
10308,20,100,1,4570.3999999999996,2004-10-15,Shipped,4,10,2004,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium,Friday,October
10318,37,100,3,7667.1400000000003,2004-11-02,Shipped,4,11,2004,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Large,Tuesday,November
10329,26,100,3,5868.1999999999998,2004-11-15,Shipped,4,11,2004,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Monday,November
10339,39,76.670000000000002,3,2990.1300000000001,2004-11-23,Shipped,4,11,2004,Motorcycles,193,S10_4698,Tokyo Collectables Ltd,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,Tuesday,November
10362,22,100,4,3664.0999999999999,2005-01-05,Shipped,1,1,2005,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,Wednesday,January
10374,22,100,1,3834.3800000000001,2005-02-02,Shipped,1,2,2005,Motorcycles,193,S10_4698,Australian Gift Network Co,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,Wednesday,February
10388,21,86.769999999999996,7,1822.1700000000001,2005-03-03,Shipped,1,3,2005,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small,Thursday,March
10403,66,100,9,11886.6,2005-04-08,Shipped,2,4,2005,Motorcycles,193,S10_4698,UK Collectables Ltd.,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large,Friday,April
10417,56,100,4,9218.1599999999999,2005-05-13,Disputed,2,5,2005,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal 86,,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,Friday,May
10105,50,100,2,7208,2003-02-11,Shipped,1,2,2003,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,Tuesday,February
10119,46,100,11,5004.8000000000002,2003-04-28,Shipped,2,4,2003,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,Monday,April
10129,33,100,2,4398.2399999999998,2003-06-12,Shipped,2,6,2003,Classic Cars,136,S10_4757,Stylish Desk Decors Co.,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,Thursday,June
10143,49,100,15,5597.7600000000002,2003-08-10,Shipped,3,8,2003,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Wing C,Medium,Sunday,August
10155,32,100,13,4526.0799999999999,2003-10-06,Shipped,4,10,2003,Classic Cars,136,S10_4757,Toys of Finland Co.,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,Monday,October
10167,44,100,9,5924.1599999999999,2003-10-23,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,Thursday,October
